EQM1 Código;EQM1;Identificador Elemento Inventario;Código Vía;Vía;PK Inicial;PK Final;Línea Código;Línea Eje;Línea Descripción;Denominación;Estado Elemento Inventario;Plan de autoprotección ;Descripción Elemento Inventario;"	Número de vías que contiene el túnel ";Longitud (m);Identificador Antecesores;Id. Raíz;Id. Inventario;Código Trayecto;Trayecto;Trayecto Pk Ini;Trayecto Pk Fin
13121;Lleida - VIA;TU - Selles-Llimiana 1 - 893 - 58,827;2600;PK. 1,927 - LA POBLA DE SEGUR, U;58,827;58,853;893;2 ;RAMALES DE LA LINEA MADRID-CHAMARTIN - BARNA-SANTS;Selles-Llimiana 1;En Servicio/No Mantenible;No;Selles-Llimiana 1;1;26,;TU - Selles-Llimiana 1 - 893 - 58,827;107095270;107095270;;;;
13121;Lleida - VIA;TU - Selles-Llimiana 5 - 893 - 60,533;2600;PK. 1,927 - LA POBLA DE SEGUR, U;60,533;60,573;893;2 ;RAMALES DE LA LINEA MADRID-CHAMARTIN - BARNA-SANTS;Selles-Llimiana 5;En Servicio/No Mantenible;No;Selles-Llimiana 5;1;40,;TU - Selles-Llimiana 5 - 893 - 60,533;107094629;107094629;;;;
13121;Lleida - VIA;TU - Selles-Llimiana 6 - 893 - 60,594;2600;PK. 1,927 - LA POBLA DE SEGUR, U;60,594;61,004;893;2 ;RAMALES DE LA LINEA MADRID-CHAMARTIN - BARNA-SANTS;Selles-Llimiana 6;En Servicio/No Mantenible;No;Selles-Llimiana 6;1;410,;TU - Selles-Llimiana 6 - 893 - 60,594;107094822;107094822;;;;
13121;Lleida - VIA;TU - Selles-Llimiana 7 - 893 - 61,163;2600;PK. 1,927 - LA POBLA DE SEGUR, U;61,163;61,389;893;2 ;RAMALES DE LA LINEA MADRID-CHAMARTIN - BARNA-SANTS;Selles-Llimiana 7;En Servicio/No Mantenible;No;Selles-Llimiana 7;1;226,;TU - Selles-Llimiana 7 - 893 - 61,163;107094823;107094823;;;;
13121;Lleida - VIA;TU - Selles-Llimiana 8 - 893 - 61,514;2600;PK. 1,927 - LA POBLA DE SEGUR, U;61,514;61,752;893;2 ;RAMALES DE LA LINEA MADRID-CHAMARTIN - BARNA-SANTS;Selles-Llimiana 8;En Servicio/No Mantenible;No;Selles-Llimiana 8;1;238,;TU - Selles-Llimiana 8 - 893 - 61,514;107095268;107095268;;;;
13121;Lleida - VIA;TU - Selles-Llimiana 9 - 893 - 61,872;2600;PK. 1,927 - LA POBLA DE SEGUR, U;61,872;62,338;893;2 ;RAMALES DE LA LINEA MADRID-CHAMARTIN - BARNA-SANTS;Selles-Llimiana 9;En Servicio/No Mantenible;No;Selles-Llimiana 9;1;466,;TU - Selles-Llimiana 9 - 893 - 61,872;107095267;107095267;;;;
13113;Reus - VIA;TU - Via Raqueta (Reus) - 230 - 1,255;2905;REUS-KM 84.896, U;1,255;2,595;230;2 ;PLANA-PICAMOIXON - REUS;Via Raqueta (Reus);En Servicio/Mantenible;Sí;Via Raqueta (Reus);1;1349,;TU - Via Raqueta (Reus) - 230 - 1,255;107094547;107094547;022300010;LA PLANA-PICAMOIXONS-REUS                                                                                                       ;0,756;4,555
13112;S. Vicenç de Calders - VIA;TU - del Mas d'en Soté - 200 - 25,663;200040;LA PLANA PICAMOIXONS-RODA DE BARA, U;25,663;25,86;200;2 ;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;del Mas d'en Soté;En Servicio/Mantenible;No;del Mas d'en Soté;1;197,;TU - del Mas d'en Soté - 200 - 25,663;107095314;107095314;022000460;VALLS-RODA DE BARA                                                                                                              ;6,716;29,05
14121;Port Bou;TU - nº 12 del Grifeu - 270 - 268,367;200071;BIF. AIGUES -PORT BOU-CERBERE,I;268,367;268,955;270;2 ;CERBERE - BIF. ARAGO;nº 12 del Grifeu;En Servicio/Mantenible;No;nº 12 del Grifeu;2;588,;TU - nº 12 del Grifeu - 270 - 268,367;107094540;107094540;022700150;FIGUERES-PORTBOU                                                                                                                ;247,07;273,106
14117;Ripoll - VIA;TU - nº 26 de La Elena - 222 - 21,883;3610;RIPOLL-LA TOUR DE CAROL, U;21,883;22,051;222;2 ;LA TOUR DE CAROL - BIF. AIGÜES;nº 26 de La Elena;En Servicio/Mantenible;No;nº 26 de La Elena;1;168,;TU - nº 26 de La Elena - 222 - 21,883;107095343;107095343;022220090;PLANOLES-PUIGCERDA                                                                                                              ;20,21;48,6
14117;Ripoll - VIA;TU - nº 29 de la Curva - 222 - 24,037;3610;RIPOLL-LA TOUR DE CAROL, U;24,037;24,149;222;2 ;LA TOUR DE CAROL - BIF. AIGÜES;nº 29 de la Curva;En Servicio/Mantenible;No;nº 29 de la Curva;1;112,;TU - nº 29 de la Curva - 222 - 24,037;107095089;107095089;022220090;PLANOLES-PUIGCERDA                                                                                                              ;20,21;48,6
14117;Ripoll - VIA;TU - nº 6 de Montesquiú - 222 - 94,23;3600;VIC-RIPOLL, U;94,23;94,32;222;2 ;LA TOUR DE CAROL - BIF. AIGÜES;nº 6 de Montesquiú;En Servicio/Mantenible;No;nº 6 de Montesquiú;1;90,;TU - nº 6 de Montesquiú - 222 - 94,23;107095580;107095580;022220050;VIC-LA FARGA DE BEBIE (APD)                                                                                                     ;68,667;96,956
14119;Granollers Centre- VIA;TU - nº 9 de la Conna - 270 - 170,318;200071;BIF. AIGUES -PORT BOU-CERBERE,I;170,318;170,389;270;2 ;CERBERE - BIF. ARAGO;nº 9 de la Conna;En Servicio/Mantenible;No;nº 9 de la Conna;2;71,;TU - nº 9 de la Conna - 270 - 170,318;107095548;107095548;022700090;GUALBA-MAÇANET-MASSANES                                                                                                         ;162,486;176,462
14117;Ripoll - VIA;TU - nº 9 de la Escala - 222 - 99,361;3600;VIC-RIPOLL, U;99,361;99,816;222;2 ;LA TOUR DE CAROL - BIF. AIGÜES;nº 9 de la Escala;En Servicio/Mantenible;No;nº 9 de la Escala;1;455,;TU - nº 9 de la Escala - 222 - 99,361;107095584;107095584;022220060;LA FARGA DE BEBIE-RIPOLL                                                                                                        ;96,956;105,586
